3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
there's a toy.,wow.,cat.,who's that.,the cat.,the bunny and the bird.,let's go to the car.,you know what this is.,oh yeah.,you wanna try it out.,they're flying over the mountains.,I'm taking the car out.,they got a dog.,okay.,there's a big bird.,a robin.,yeah.,oh he's just like a cat.,and you can ride in the car.,oh no.,that's a cardinal.,you're not going to say that.,a bunny rabbit.,they're all the same.,oh look.,and what else.,hey.,oh yeah.
that's a cow.,kitty.,that's a cute little cat.,who's that.,oh we're going to take the cat to the vet.,the big white ball of fluff.,oh yeah.,and.,yeah.,car.,look at this.,wanna go for a ride in the car.,and now I'm going to put him in.,oh I have a picture of this little girl.,where did that bird go.,yeah there's a little birdie on the branch.,and then go to the car dealer.,it's a baby cat.,oh look at that car.,yes.,yeah.,okay.,well.,that's a panda bear.,wow wow.,you see.,that's right.,I'll take a picture of you and your baby brother.
this is what your toys look like.,that's a cat.,it's a cat.,okay.,do you see the kitty.,wolfie.,oh let's go.,what are they doing.,yeah.,wanna have the car.,he's not flying.,you gotta be careful with it.,yeah.,what's this.,that's a bird.,there's a penguin.,and a car.,I'm going to find something to get it out of there.,oh you're gonna drive to the car.,that's my daddy.,a gull.,I think we're going to see some more animals today.,a duck.,there's a little bunny.,oh they're out of gas.,where's the rabbit.,do you know the car's name?,that's right.
okay.,go.,and he's going to get a little tummy ache.,oh.,it's a cat.,that's the duck.,oh there's a big car.,can you see.,oh.,wanna see the car.,here we go.,you wanna have a turn in the car.,what are they.,okay you can have it back now.,that's a red bird.,it's a birdie.,you know what.,I think it's a cat.,okay.,you're going to have some cereal.,no.,a duck.,you're gonna have to give him a good whack.,what are you doing with your hands.,there it is.,oh it's a cat.,that's a car.,and then we'll go to the kitchen and get some juice.
you want to put that on.,it's a cat.,wanna have a little cat.,what's this.,it's cats paw.,can you say elephant.,you wanna go in the car.,do you like the turtles.,do you wanna sit in the car.,what's in that car.,you know.,uhhuh.,it's like a small dog.,that's a toy.,and the chickens are sitting on eggs.,you wanna watch the birds.,that's right.,oh I've got a story.,I see you got a new car.,she's a big sister.,what's the name of that bird.,what kind of animal.,we have a lot of animals.,and the sheep.,yeah.,they are in a forest.,you wanna see the truck.,it's just the door.
where's the caterpillar.,wow.,he's sitting down.,oh no that's your daddy's car.,and it's a cat.,there are a lot of horses.,wanna go for a ride in the car.,you see.,yeah.,it's a big truck.,they're little birdies.,uh.,oh he's a big dog.,look at the toys.,what kind of bird is that.,yeah it's a hawk.,what's this.,see that cat.,oh my goodness.,who's this.,you know what a bird is.,she has a lot of fun with it.,that's a nice rabbit.,oh this is a fish.,well you're driving.,what is that.,I'm going to make a picture of a car.,it's a little bit like a dollhouse.
okay.,that's a cat.,yeah yeah.,hey look at that.,what's that.,yeah.,what's this.,I'm sorry.,that's a car.,yeah it's a car.,what is this?,yeah we have a truck.,a dog and a rabbit.,there's a truck.,what's the name of that bird.,oh okay.,wow we're going to see a car.,oh.,okay.,we're gonna make them.,what's the matter with it.,what's that.,you know what.,and they're just like a kitty.,you're going to get into the car and go.,oh.,well that's your car.,a home.
you're gonna play with your toys.,and the cat had a big blue ball.,oh look at the kitty.,I think you're right.,what is that.,look at the dog.,wow.,uhhuh.,yeah.,and we have a truck.,that's right.,look at this.,the dog is going to go.,here's the car.,and the bird is gonna say.,look at that bird.,you're going to have a nice ride to work.,and the kitty likes to drink milk.,hey.,okay I'm going to go get a few things.,and the baby birds.,that's a giraffe.,this one is a baby.,and then what do you do with the egg.,that's your car.,and then it goes back to the river.,see those wheels.,I need to get the keys to the door.
okay.,you're going to give the cat a treat.,cute cute cat.,the boy's.,no.,oh that's a giraffe.,what's this.,they're in the air.,oh what's that.,wanna go for a drive with me.,here's another one.,we're going to get out the car.,I'm glad you're playing with the doggy.,you're a good girl.,that's a hawk.,it's a little robin.,there's a little bit of ice on the windshield.,they're like cat's ears.,and a car.,you know what mommy says.,what's that?,oh look at the little monkey.,okay.,and I like to see.,you put it in.,where is the bird.,no.,who are you.
yeah.,see that cat.,you're so cute.,okay.,cat.,what's this.,see the car.,okay.,okay let's put it back in.,and here's the car.,little birdie.,that's right.,what did you do with the dog?,I'm gonna put the blocks back in the box.,where is the bird.,there's a bird.,they're not supposed to be in the garage.,that's a cat.,the car's got four wheels.,that's right.,that's a bird.,they're not cute.,yeah I think she's a cow.,that's a monkey.,oh I see.,you think of animals.,we're gonna have to make a U turn and go back.,okay.
you gotta play with that toy.,cats.,oh.,yeah.,and she's going to see him.,this is a little duck.,and you gotta say it.,he's a chicken.,let's see what we can find.,do you remember what the car's name was?,there's a little bird outside.,you get in.,I'm not really sure.,there's a little girl.,no.,what's the name of that bird.,you can put them on the car.,oh my gosh.,it's a truck.,I'm sorry.,that's a pheasant.,I think it's a bunny.,oh you're a dog.,yeah.,what's that.,and they're called lions.,oh.,let's make a house.
